,artistName,total_listens,genres
6529,Phish,14,blues rock
9426,U2,14,permanent wave
8592,The Kinks,14,rock
8780,The Omys,14,alternative r&b
1116,Boston,13,classic rock
8307,The Buttertones,13,indie garage rock
850,Billy Joel,13,classic rock
6917,Rebelution,13,reggae rock
2048,Daryl Hall & John Oates,13,classic rock
6341,Pangea,13,indie garage rock
3627,Harry Styles,13,post-teen pop
925,Blind Pilot,13,new americana
9137,Tierra Whack,13,alternative r&b
2305,Dirty Heads,13,reggae rock
8569,The Isley Brothers,13,classic soul
3061,Francis and the Lights,13,alternative r&b
5275,Maggie Rogers,13,electropop
8003,TOPS,12,indie soul
7383,Sheck Wes,12,trap
1179,Brittany Howard,12,modern blues rock
9221,Tom Petty and the Heartbreakers,12,mellow gold
5393,Masego,12,indie soul
3544,Guster,12,boston rock
2354,Djembe Jones,12,baltimore indie
7186,SOB X RBE,12,trap
2159,Deerhunter,12,nu gaze
324,Andy Shauf,12,stomp and holler
8769,The North 41,12,funk rock
7311,ScHoolboy Q,12,southern hip hop
5177,Luke Bryan,12,country road
9201,Together Pangea,12,indie garage rock
1469,Cass McCombs,12,stomp and holler
392,Architecture In Helsinki,12,new rave
2784,Ezra Collective,12,british jazz
9530,Vista Kicks,12,indie pop
5340,Mark Ronson,11,dance pop
2213,Destroyer,11,art pop
3742,House Of Pain,11,hip hop
6128,Notorious B.I.G.,11,hip hop
5666,Minnie Riperton,11,classic soul
10016,Zedd,11,tropical house
8409,The Dip,11,funk
1974,DMX,11,rap
3562,Guy Clark,11,texas country
7451,Skepta,11,birmingham grime
7567,Snail Mail,11,indie rock
4844,Labi Siffre,11,classic uk pop
2005,Daft Punk,11,electro
4240,Joe Hertler & The Rainbow Seekers,11,michigan indie
1830,Creedence Clearwater Revival,11,classic rock
7009,Ripe,11,boston indie
52,88-Keys,11,alternative hip hop
8421,The Districts,11,lancaster pa indie
6104,Nirvana,11,post-grunge
9611,Washed Out,11,indie rock
3140,Fruit Bats,11,modern rock
4716,Khalid,11,alternative r&b
73,A$AP Ferg,11,pop rap
8568,The Internet,11,lgbtq+ hip hop
4999,Lil Wayne,11,pop rap
1651,Clairo,11,bedroom pop
9517,Vince Guaraldi Trio,11,jazz trio
4504,Julien Baker,11,indie rock
2562,"Earth, Wind & Fire",11,jazz funk
4757,King Gizzard & The Lizard Wizard,11,australian indie
2567,Ed Sheeran,11,pop
1570,Chastity Belt,10,noise pop
741,Bibio,10,chamber pop
7339,Shakey Graves,10,modern rock
2314,Dirty Projectors,10,indie rock
8309,The Byrds,10,art rock
5596,Migos,10,southern hip hop
581,Bahamas,10,new americana
9736,Willie Nelson,10,texas country
2375,Donny Hathaway,10,motown
3704,Homeshake,10,indie garage rock
2840,Fat Night,10,indie soul
946,Blood Orange,10,indietronica
9561,Wale,10,rap
5185,Lunar Vacation,10,indie garage rock
3481,Greta Van Fleet,10,rock
5064,Lizzo,10,escape room
4099,Jazz Liberatorz,10,jazz rap
3511,Grouplove,10,indie pop
5188,Lupe Fiasco,10,chicago rap
5695,Mitski,10,dance pop
8954,The Temptations,10,brill building pop
8412,The Dirty Dozen Brass Band,10,brass band
10083,moow,10,chillhop
157,Al Green,9,soul
2753,Etta James,9,torch song
2240,Dexys Midnight Runners,9,new wave pop
4505,June Marieezy,9,alternative r&b
708,Berhana,9,indie r&b
7273,Santigold,9,indietronica
9464,Vacations,9,newcastle nsw indie
3361,Goldlink,9,hip hop
5832,Mura Masa,9,vapor soul
5039,Little Dragon,9,alternative dance
