,trackName,artistName,total_listens_track,genres
16597,Floods New Light,Thee Oh Sees,1,dance-punk
16598,Floods New Light,Thee Oh Sees,1,freak folk
16599,Floods New Light,Thee Oh Sees,1,garage pop
16600,Floods New Light,Thee Oh Sees,1,garage psych
16601,Floods New Light,Thee Oh Sees,1,garage rock
16602,Floods New Light,Thee Oh Sees,1,indie garage rock
16639,Flutes,Hot Chip,1,dance pop
16641,Flutes,Hot Chip,1,electronica
16566,Flipside,Ripe,1,boston indie
16642,Flutes,Hot Chip,1,electropop
16699,Foggy Notion,The Velvet Underground,1,protopunk
16700,Foggy Notion,The Velvet Underground,1,psychedelic rock
16701,Foggy Notion,The Velvet Underground,1,rock
16707,Folds,Feverkin,1,chillstep
16708,Folds,Feverkin,1,substep
16709,Folds,Feverkin,1,vapor twitch
16710,Folk-Metaphysics,Milo,1,alternative hip hop
16711,Folk-Metaphysics,Milo,1,escape room
16712,Folk-Metaphysics,Milo,1,milwaukee hip hop
16725,Follow God,Kanye West,1,chicago rap
16726,Follow God,Kanye West,1,rap
16732,Follow Through,Ripe,1,boston indie
16752,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,1,arkansas country
16753,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,1,outlaw country
16754,Fool,Fat Night,1,funk
16755,Fool,Fat Night,1,indie soul
16760,Fool To Cry - Remastered 2009,The Rolling Stones,1,album rock
16698,Foggy Notion,The Velvet Underground,1,permanent wave
16697,Foggy Notion,The Velvet Underground,1,melancholia
16696,Foggy Notion,The Velvet Underground,1,folk rock
16668,Fly Me To The Moon - Remastered,Frank Sinatra,1,adult standards
16643,Flutes,Hot Chip,1,indie pop
16644,Flutes,Hot Chip,1,indie rock
16645,Flutes,Hot Chip,1,indie soul
16646,Flutes,Hot Chip,1,indietronica
16647,Flutes,Hot Chip,1,modern rock
16648,Flutes,Hot Chip,1,neo-synthpop
16649,Flutes,Hot Chip,1,new rave
16669,Fly Me To The Moon - Remastered,Frank Sinatra,1,easy listening
16695,Foggy Notion,The Velvet Underground,1,classic rock
16670,Fly Me To The Moon - Remastered,Frank Sinatra,1,lounge
16685,Flying Overseas (feat. Devonte Hynes and Solange Knowles),Theophilus London,1,alternative hip hop
16686,Flying Overseas (feat. Devonte Hynes and Solange Knowles),Theophilus London,1,indie r&b
16689,Focus,H.E.R.,1,pop
16690,Focus,H.E.R.,1,r&b
16693,Foggy Notion,The Velvet Underground,1,alternative rock
16694,Foggy Notion,The Velvet Underground,1,art rock
16577,Floats My Boat,Aer,1,indie pop rap
16565,Flip Phones,Sjowgren,1,stomp and holler
16424,Fishes and Scorpions,Stephen Stills,1,roots rock
16481,Flamenco Sketches - Alternate Take,Miles Davis,1,cool jazz
16463,Flag at Half-Mast,Foxygen,1,indie garage rock
16464,Flag at Half-Mast,Foxygen,1,indie pop
16465,Flag at Half-Mast,Foxygen,1,indie rock
16466,Flag at Half-Mast,Foxygen,1,indietronica
16467,Flag at Half-Mast,Foxygen,1,neo-psychedelic
16468,Flag at Half-Mast,Foxygen,1,new rave
16469,Flag at Half-Mast,Foxygen,1,noise pop
16470,Flake,Jack Johnson,1,neo mellow
16471,Flake (Live),Jack Johnson,1,neo mellow
16472,Flamenco Sketches,Miles Davis,1,bebop
16473,Flamenco Sketches,Miles Davis,1,contemporary post-bop
16474,Flamenco Sketches,Miles Davis,1,cool jazz
16475,Flamenco Sketches,Miles Davis,1,hard bop
16476,Flamenco Sketches,Miles Davis,1,jazz
16477,Flamenco Sketches,Miles Davis,1,jazz fusion
16478,Flamenco Sketches,Miles Davis,1,jazz trumpet
16479,Flamenco Sketches - Alternate Take,Miles Davis,1,bebop
16462,Flag at Half-Mast,Foxygen,1,garage rock
16461,Flag at Half-Mast,Foxygen,1,freak folk
16460,Flag at Half-Mast,Foxygen,1,experimental pop
16440,Fixin to Die,Bob Dylan,1,country rock
16425,Fishes and Scorpions,Stephen Stills,1,singer-songwriter
16426,Fishes and Scorpions,Stephen Stills,1,soft rock
16427,Fishes and Scorpions,Stephen Stills,1,traditional folk
16436,Fix You,Coldplay,1,permanent wave
16437,Fix You,Coldplay,1,pop
16438,Fixin to Die,Bob Dylan,1,album rock
16439,Fixin to Die,Bob Dylan,1,classic rock
16441,Fixin to Die,Bob Dylan,1,folk
