,artistName,total_listens,genres
7384,Sheck Wes,12,vapor trap
9201,Together Pangea,12,indie punk
7999,TOPS,12,experimental pop
2786,Ezra Collective,12,indie soul
2155,Deerhunter,12,neo-psychedelic
319,Andy Shauf,12,deep new americana
5175,Luke Bryan,12,contemporary country
392,Architecture In Helsinki,12,new rave
1460,Cass McCombs,12,freak folk
8768,The North 41,12,funk rock
2354,Djembe Jones,12,baltimore indie
5392,Masego,12,alternative r&b
1180,Brittany Howard,12,neo soul
2227,Destroyer,11,slow core
7565,Snail Mail,11,indie pop
72,A$AP Ferg,11,hip hop
2568,Ed Sheeran,11,uk pop
5671,Minnie Riperton,11,quiet storm
4716,Khalid,11,alternative r&b
4757,King Gizzard & The Lizard Wizard,11,australian indie
2560,"Earth, Wind & Fire",11,disco
8408,The Dip,11,funk
9516,Vince Guaraldi Trio,11,jazz trio
7451,Skepta,11,grime
1969,DMX,11,east coast hip hop
2005,Daft Punk,11,electro
5340,Mark Ronson,11,dance pop
5001,Lil Wayne,11,trap
3134,Fruit Bats,11,chamber pop
1829,Creedence Clearwater Revival,11,album rock
9604,Washed Out,11,art pop
52,88-Keys,11,alternative hip hop
8420,The Districts,11,lancaster pa indie
4844,Labi Siffre,11,classic uk pop
4502,Julien Baker,11,indie folk
8567,The Internet,11,lgbtq+ hip hop
6105,Nirvana,11,rock
6125,Notorious B.I.G.,11,east coast hip hop
3563,Guy Clark,11,traditional folk
10015,Zedd,11,tropical house
3740,House Of Pain,11,gangster rap
1654,Clairo,11,pop
7009,Ripe,11,boston indie
4240,Joe Hertler & The Rainbow Seekers,11,michigan indie
1570,Chastity Belt,10,noise pop
2839,Fat Night,10,funk
943,Blood Orange,10,escape room
3515,Grouplove,10,modern rock
8320,The Byrds,10,soft rock
5592,Migos,10,atl hip hop
9563,Wale,10,urban contemporary
5189,Lupe Fiasco,10,conscious hip hop
2306,Dirty Projectors,10,art pop
2380,Donny Hathaway,10,vocal jazz
4097,Jazz Liberatorz,10,alternative hip hop
3704,Homeshake,10,indie garage rock
5186,Lunar Vacation,10,indie pop
578,Bahamas,10,canadian indie
5064,Lizzo,10,escape room
747,Bibio,10,indietronica
10082,moow,10,chillhop
7337,Shakey Graves,10,indie rock
3481,Greta Van Fleet,10,rock
9735,Willie Nelson,10,texas country
5698,Mitski,10,indie rock
8956,The Temptations,10,memphis soul
8411,The Dirty Dozen Brass Band,10,brass band
9822,YBN Cordae,9,dmv rap
5106,Lou Reed,9,permanent wave
7272,Santigold,9,indietronica
5046,Little Dragon,9,escape room
4761,King Krule,9,art pop
3361,Goldlink,9,hip hop
2751,Etta James,9,soul
4391,Johnny Cash,9,outlaw country
2239,Dexys Midnight Runners,9,dance rock
6374,Passion Pit,9,alternative dance
9047,The Wood Brothers,9,progressive bluegrass
4687,Kero One,9,jazz boom bap
352,Animal Collective,9,new rave
8516,The Greeting Committee,9,indie pop
9462,Vacations,9,indie garage rock
8510,The Georgia Mass Choir,9,praise
708,Berhana,9,indie r&b
161,Alabama,9,country road
326,Angel Olsen,9,art pop
159,Al Green,9,southern soul
5831,Mura Masa,9,channel islands indie
3543,Gus Dapperton,9,indie poptimism
7395,Shovels & Rope,9,south carolina indie
8259,The Black Keys,9,alternative rock
2923,Fiona Apple,9,pop rock
7494,Slightly Stoopid,9,reggae rock
4505,June Marieezy,9,alternative r&b
8347,The Claypool Lennon Delirium,9,neo-psychedelic
4762,King Princess,8,dance pop
3172,Future Islands,8,indie rock
3523,Gucci Mane,8,atl hip hop
3650,Herbie Hancock,8,contemporary post-bop
6867,Ramones,8,skate punk
1848,"Crosby, Stills & Nash",8,mellow gold
6349,Parcels,8,indie soul
4366,John Mayer,8,neo mellow
4140,Jelly Roll Morton,8,louisiana blues
9021,The Weeks,8,mississippi indie
4568,KOTA The Friend,8,hip hop
9396,Ty Dolla $ign,8,hip hop
1150,Breakbot,8,disco house
8562,The Ink Spots,8,lounge
682,Begonia,8,manitoba indie
93,Ab-Soul,8,conscious hip hop
5599,Miguel,8,pop
2409,Doves,8,alternative rock
4815,Kygo,8,pop
1760,Common Holly,8,quebec indie
2167,Dela,8,chillhop
8334,The Chainsmokers,8,pop
2367,Domo Genesis,7,alternative hip hop
5846,My Morning Jacket,7,indie rock
4132,Jefferson Airplane,7,rock
3093,Frankie Valli & The Four Seasons,7,folk rock
5506,Melodys Echo Chamber,7,shiver pop
2403,Dope Lemon,7,australian indie
6356,Parquet Courts,7,freak folk
3440,Grapetooth,7,indie garage rock
55,A Boogie Wit da Hoodie,7,rap
3761,Idris Muhammad,7,afrobeat
3789,Inner Wave,7,indie garage rock
3388,Goth Babe,7,vapor soul
3904,Jack Symes,7,deep new americana
304,Andrew Bird,7,stomp and holler
6000,Nelly,7,urban contemporary
3364,Gong Gong Gong 工工工,7,chinese indie rock
7585,Snoop Dogg,7,g funk
3701,Homeboy Sandman,7,abstract hip hop
3707,Hoops,7,chillwave
6086,Nightmares On Wax,7,bleep techno
2746,Escort,7,nu disco
7498,Slow Pulp,7,indie garage rock
3579,HALA,7,indie garage rock
3963,James Blake,7,art pop
5097,Lord Huron,7,indie folk
3967,James Brown,7,funk
3972,James McAlister,7,experimental pop
8626,The Lovin Spoonful,7,mellow gold
400,Aretha Franklin,7,adult standards
2251,Digable Planets,7,rap
1729,Cold War Kids,7,rock
9297,Townes Van Zandt,7,new americana
1753,Common,7,alternative hip hop
1956,DJ Khaled,7,southern hip hop
1658,Clap Your Hands Say Yeah,7,dance-punk
9569,Wand,7,chamber psych
799,Big Wild,7,vapor soul
8734,The Mountain Goats,7,chamber pop
9347,Trey Anastasio,7,progressive bluegrass
9503,Vic Mensa,7,conscious hip hop
406,Ariana Grande,7,dance pop
971,Bluestaeb,7,jazz boom bap
1642,Cigarettes After Sex,7,el paso indie
613,Bas,7,rap
888,Blac Rabbit,7,neo-psychedelic
449,Art dEcco,7,canadian indie
8431,The Doobie Brothers,6,roots rock
2183,Derek & The Dominos,6,album rock
3929,Jackson Browne,6,traditional folk
6997,Rihanna,6,r&b
2694,Emitt Rhodes,6,folk rock
1386,Caribou,6,electronica
6576,Pixies,6,boston rock
8598,The Lagoons,6,la indie
2039,Darius Rucker,6,pop rock
5719,Moe.,6,jam band
1674,Claude Debussy,6,post-romantic era
4535,Justice,6,new rave
