,artistName,total_listens,genres
7893,Summer Salt,130,indie garage rock
7894,Summer Salt,130,indie pop
83,A$AP Rocky,126,east coast hip hop
84,A$AP Rocky,126,hip hop
88,A$AP Rocky,126,trap
87,A$AP Rocky,126,southern hip hop
86,A$AP Rocky,126,rap
85,A$AP Rocky,126,pop rap
6280,OutKast,125,dirty south rap
6284,OutKast,125,southern hip hop
6283,OutKast,125,rap
6282,OutKast,125,pop rap
6281,OutKast,125,hip hop
6279,OutKast,125,atl hip hop
511,BROCKHAMPTON,123,rap
508,BROCKHAMPTON,123,boy band
509,BROCKHAMPTON,123,hip hop
510,BROCKHAMPTON,123,pop
8229,The Band,121,mellow gold
5929,Nas,121,gangster rap
8221,The Band,121,classic canadian rock
8220,The Band,121,blues rock
8219,The Band,121,album rock
8232,The Band,121,roots rock
8233,The Band,121,soft rock
8324,The California Honeydrops,121,deep new americana
8234,The Band,121,traditional folk
5933,Nas,121,rap
5932,Nas,121,queens hip hop
5931,Nas,121,hip hop
8323,The California Honeydrops,121,bay area indie
5930,Nas,121,hardcore hip hop
8327,The California Honeydrops,121,modern funk
8326,The California Honeydrops,121,indie folk
5928,Nas,121,east coast hip hop
5927,Nas,121,conscious hip hop
8222,The Band,121,classic rock
8230,The Band,121,psychedelic rock
8228,The Band,121,jam band
8231,The Band,121,rock
8227,The Band,121,heartland rock
8226,The Band,121,folk rock
8225,The Band,121,folk
8224,The Band,121,country rock
8325,The California Honeydrops,121,funk
8223,The Band,121,cosmic american
6085,Night Moves,117,indie rock
6895,Ray Charles,116,soul blues
6896,Ray Charles,116,vocal jazz
6893,Ray Charles,116,piano blues
6892,Ray Charles,116,jazz blues
6891,Ray Charles,116,classic soul
6890,Ray Charles,116,adult standards
6894,Ray Charles,116,soul
9536,Vundabar,114,indie garage rock
9537,Vundabar,114,indie rock
9535,Vundabar,114,boston indie
847,Billy Bragg,107,traditional folk
846,Billy Bragg,107,singer-songwriter
848,Billy Bragg,107,uk americana
839,Billy Bragg,107,alternative rock
840,Billy Bragg,107,anti-folk
841,Billy Bragg,107,folk
842,Billy Bragg,107,folk punk
843,Billy Bragg,107,folk rock
844,Billy Bragg,107,permanent wave
845,Billy Bragg,107,roots rock
5516,Men I Trust,106,indie pop
4204,Jimi Hendrix,105,album rock
4205,Jimi Hendrix,105,blues rock
4206,Jimi Hendrix,105,classic rock
4207,Jimi Hendrix,105,hard rock
4209,Jimi Hendrix,105,rock
4203,Jimi Hendrix,105,acid rock
4208,Jimi Hendrix,105,psychedelic rock
4071,Jay Som,104,dream pop
4074,Jay Som,104,indie folk
8773,The Notorious B.I.G.,104,rap
8770,The Notorious B.I.G.,104,gangster rap
4067,Jay Som,104,art pop
4068,Jay Som,104,bay area indie
4069,Jay Som,104,chamber pop
4070,Jay Som,104,chillwave
8771,The Notorious B.I.G.,104,hardcore hip hop
4072,Jay Som,104,experimental pop
4073,Jay Som,104,freak folk
8772,The Notorious B.I.G.,104,hip hop
4075,Jay Som,104,indie pop
8769,The Notorious B.I.G.,104,east coast hip hop
4079,Jay Som,104,small room
4076,Jay Som,104,indie rock
4078,Jay Som,104,oakland indie
4077,Jay Som,104,indietronica
6561,Pinegrove,102,indie folk
6565,Pinegrove,102,small room
6564,Pinegrove,102,new jersey indie
6563,Pinegrove,102,indie rock
6562,Pinegrove,102,indie pop
6572,Pink Floyd,99,symphonic rock
6570,Pink Floyd,99,psychedelic rock
6571,Pink Floyd,99,rock
6568,Pink Floyd,99,classic rock
6567,Pink Floyd,99,art rock
6566,Pink Floyd,99,album rock
6569,Pink Floyd,99,progressive rock
9679,White Reaper,98,modern power pop
9678,White Reaper,98,indie punk
3384,Gorillaz,97,art pop
3383,Gorillaz,97,alternative hip hop
8526,The Head and the Heart,96,new americana
8528,The Head and the Heart,96,stomp and holler
8527,The Head and the Heart,96,seattle indie
8522,The Head and the Heart,96,folk-pop
8523,The Head and the Heart,96,indie folk
8524,The Head and the Heart,96,indie pop
8525,The Head and the Heart,96,neo mellow
5736,Moon Taxi,94,stomp and holler
5735,Moon Taxi,94,pop rock
5733,Moon Taxi,94,modern alternative rock
5734,Moon Taxi,94,modern rock
5732,Moon Taxi,94,indietronica
5731,Moon Taxi,94,indie poptimism
5730,Moon Taxi,94,indie pop
6116,Noname,93,escape room
6955,Rex Orange County,93,pop
6117,Noname,93,hip hop
6115,Noname,93,chicago rap
6114,Noname,93,alternative r&b
6118,Noname,93,indie soul
6119,Noname,93,rap
6954,Rex Orange County,93,indie r&b
6953,Rex Orange County,93,bedroom pop
4813,Kweku Collins,92,underground hip hop
6180,Okey Dokey,92,indie garage rock
6181,Okey Dokey,92,nashville indie
6424,Peach Pit,90,indie pop
6425,Peach Pit,90,modern rock
6426,Peach Pit,90,vancouver indie
7074,Rolling Blackouts Coastal Fever,88,australian garage punk
7078,Rolling Blackouts Coastal Fever,88,modern jangle pop
7077,Rolling Blackouts Coastal Fever,88,indie rock
7076,Rolling Blackouts Coastal Fever,88,chamber psych
7075,Rolling Blackouts Coastal Fever,88,australian indie
9341,Trampled by Turtles,87,stomp and holler
9339,Trampled by Turtles,87,progressive bluegrass
9333,Trampled by Turtles,87,bluegrass
9338,Trampled by Turtles,87,new americana
6598,Pond,87,indie rock
6599,Pond,87,indietronica
6600,Pond,87,neo-psychedelic
9334,Trampled by Turtles,87,deep new americana
9335,Trampled by Turtles,87,duluth indie
9336,Trampled by Turtles,87,indie folk
9340,Trampled by Turtles,87,roots rock
9337,Trampled by Turtles,87,jam band
2448,Drake,86,canadian pop
2452,Drake,86,toronto rap
2449,Drake,86,hip hop
2450,Drake,86,pop rap
2447,Drake,86,canadian hip hop
2451,Drake,86,rap
5645,Mild High Club,84,indie garage rock
5646,Mild High Club,84,neo-psychedelic
3902,Jack Johnson,81,neo mellow
8830,The Rolling Stones,79,album rock
8831,The Rolling Stones,79,british invasion
8834,The Rolling Stones,79,rock
8833,The Rolling Stones,79,protopunk
8832,The Rolling Stones,79,classic rock
2355,Djo,77,psychedelic pop
4566,KIDS SEE GHOSTS,76,underground hip hop
4565,KIDS SEE GHOSTS,76,rap
4564,KIDS SEE GHOSTS,76,hip hop
6014,Neutral Milk Hotel,73,alternative rock
6015,Neutral Milk Hotel,73,anti-folk
6016,Neutral Milk Hotel,73,athens indie
6017,Neutral Milk Hotel,73,chamber pop
6019,Neutral Milk Hotel,73,freak folk
6018,Neutral Milk Hotel,73,e6fi
6024,Neutral Milk Hotel,73,noise pop
6020,Neutral Milk Hotel,73,indie pop
6021,Neutral Milk Hotel,73,indie rock
6022,Neutral Milk Hotel,73,lo-fi
6023,Neutral Milk Hotel,73,modern rock
9886,Yo La Tengo,72,freak folk
9894,Yo La Tengo,72,slow core
9882,Yo La Tengo,72,anti-folk
9883,Yo La Tengo,72,art pop
9884,Yo La Tengo,72,chamber pop
9893,Yo La Tengo,72,permanent wave
9892,Yo La Tengo,72,noise pop
9891,Yo La Tengo,72,new jersey indie
9885,Yo La Tengo,72,dream pop
9890,Yo La Tengo,72,lo-fi
9889,Yo La Tengo,72,indie rock
8607,The Lemon Twigs,72,psychedelic pop
8606,The Lemon Twigs,72,baroque pop
9888,Yo La Tengo,72,indie pop
9887,Yo La Tengo,72,indie folk
9881,Yo La Tengo,72,alternative rock
6733,Q-Tip,70,queens hip hop
6729,Q-Tip,70,east coast hip hop
6732,Q-Tip,70,neo soul
6731,Q-Tip,70,hip hop
6730,Q-Tip,70,hardcore hip hop
3666,Hers,70,indie pop
6728,Q-Tip,70,alternative hip hop
3665,Hers,70,indie garage rock
1792,Counting Crows,70,pop rock
1793,Counting Crows,70,post-grunge
1794,Counting Crows,70,rock
1791,Counting Crows,70,neo mellow
3667,Hers,70,liverpool indie
1790,Counting Crows,70,alternative rock
6824,Radiohead,68,rock
6823,Radiohead,68,permanent wave
6822,Radiohead,68,oxford indie
6821,Radiohead,68,melancholia
6820,Radiohead,68,art rock
6819,Radiohead,68,alternative rock
6168,Of Monsters And Men,68,stomp and holler
6167,Of Monsters And Men,68,pop rock
6166,Of Monsters And Men,68,modern rock
6165,Of Monsters And Men,68,metropopolis
6164,Of Monsters And Men,68,indie pop
6163,Of Monsters And Men,68,folk-pop
8389,The Decemberists,66,indie rock
8385,The Decemberists,66,canadian indie
8388,The Decemberists,66,indie pop
8391,The Decemberists,66,modern rock
8386,The Decemberists,66,chamber pop
8384,The Decemberists,66,baroque pop
8383,The Decemberists,66,anti-folk
8382,The Decemberists,66,alternative rock
8387,The Decemberists,66,indie folk
8390,The Decemberists,66,modern folk rock
8392,The Decemberists,66,stomp and holler
1233,Brother Ali,66,minnesota hip hop
1232,Brother Ali,66,hip hop
1231,Brother Ali,66,conscious hip hop
1230,Brother Ali,66,alternative hip hop
1229,Brother Ali,66,abstract hip hop
1234,Brother Ali,66,underground rap
2802,FKJ,64,filter house
2803,FKJ,64,indie soul
6726,Pusha T,61,trap
6725,Pusha T,61,southern hip hop
2600,Electric Guest,61,indie rock
6727,Pusha T,61,underground hip hop
2599,Electric Guest,61,indie pop
6723,Pusha T,61,pop rap
2601,Electric Guest,61,indietronica
2603,Electric Guest,61,modern rock
6724,Pusha T,61,rap
1919,DAngelo,61,soul
6722,Pusha T,61,hip hop
6721,Pusha T,61,gangster rap
1920,DAngelo,61,urban contemporary
1918,DAngelo,61,r&b
1917,DAngelo,61,neo soul
1916,DAngelo,61,indie soul
1915,DAngelo,61,hip hop
1914,DAngelo,61,funk
1913,DAngelo,61,alternative r&b
2598,Electric Guest,61,alternative dance
2604,Electric Guest,61,shimmer pop
2605,Electric Guest,61,vapor soul
2602,Electric Guest,61,la indie
2318,Disclosure,59,house
9277,Toro Y Moi,59,alternative dance
9279,Toro Y Moi,59,chillwave
9280,Toro Y Moi,59,indie pop
9281,Toro Y Moi,59,indie soul
9282,Toro Y Moi,59,indietronica
9283,Toro Y Moi,59,new rave
9284,Toro Y Moi,59,nu gaze
2319,Disclosure,59,pop
9278,Toro Y Moi,59,art pop
8796,The Postal Service,59,indie pop
8797,The Postal Service,59,indie rock
8798,The Postal Service,59,indietronica
8799,The Postal Service,59,modern rock
2320,Disclosure,59,tropical house
2321,Disclosure,59,uk dance
8800,The Postal Service,59,seattle indie
4725,Kid Cudi,58,rap
4724,Kid Cudi,58,pop rap
4723,Kid Cudi,58,hip hop
10110,together PANGEA,56,indie punk
10109,together PANGEA,56,indie garage rock
5128,Louis Armstrong,56,vocal jazz
5127,Louis Armstrong,56,swing
5124,Louis Armstrong,56,jazz trumpet
5126,Louis Armstrong,56,soul
