,artistName,total_listens,genres
4928,Leon Bridges,131,modern blues
7888,Summer Salt,130,indie garage rock
7889,Summer Salt,130,indie pop
83,A$AP Rocky,126,east coast hip hop
85,A$AP Rocky,126,pop rap
86,A$AP Rocky,126,rap
87,A$AP Rocky,126,southern hip hop
88,A$AP Rocky,126,trap
84,A$AP Rocky,126,hip hop
6274,OutKast,125,atl hip hop
6279,OutKast,125,southern hip hop
6278,OutKast,125,rap
6277,OutKast,125,pop rap
6276,OutKast,125,hip hop
6275,OutKast,125,dirty south rap
509,BROCKHAMPTON,123,hip hop
508,BROCKHAMPTON,123,boy band
511,BROCKHAMPTON,123,rap
510,BROCKHAMPTON,123,pop
8215,The Band,121,blues rock
8226,The Band,121,rock
8216,The Band,121,classic canadian rock
8217,The Band,121,classic rock
8218,The Band,121,cosmic american
8219,The Band,121,country rock
8214,The Band,121,album rock
8221,The Band,121,folk rock
8222,The Band,121,heartland rock
8223,The Band,121,jam band
8224,The Band,121,mellow gold
8225,The Band,121,psychedelic rock
5927,Nas,121,queens hip hop
8227,The Band,121,roots rock
8228,The Band,121,soft rock
8229,The Band,121,traditional folk
8318,The California Honeydrops,121,bay area indie
5928,Nas,121,rap
8320,The California Honeydrops,121,funk
8321,The California Honeydrops,121,indie folk
8322,The California Honeydrops,121,modern funk
5922,Nas,121,conscious hip hop
5923,Nas,121,east coast hip hop
5924,Nas,121,gangster rap
5925,Nas,121,hardcore hip hop
5926,Nas,121,hip hop
8319,The California Honeydrops,121,deep new americana
8220,The Band,121,folk
6080,Night Moves,117,indie rock
6890,Ray Charles,116,soul blues
6891,Ray Charles,116,vocal jazz
6887,Ray Charles,116,jazz blues
6888,Ray Charles,116,piano blues
6889,Ray Charles,116,soul
6885,Ray Charles,116,adult standards
6886,Ray Charles,116,classic soul
9532,Vundabar,114,indie rock
9530,Vundabar,114,boston indie
9531,Vundabar,114,indie garage rock
840,Billy Bragg,107,anti-folk
843,Billy Bragg,107,folk rock
842,Billy Bragg,107,folk punk
841,Billy Bragg,107,folk
845,Billy Bragg,107,roots rock
844,Billy Bragg,107,permanent wave
846,Billy Bragg,107,singer-songwriter
847,Billy Bragg,107,traditional folk
848,Billy Bragg,107,uk americana
839,Billy Bragg,107,alternative rock
5511,Men I Trust,106,indie pop
4201,Jimi Hendrix,105,classic rock
4203,Jimi Hendrix,105,psychedelic rock
4198,Jimi Hendrix,105,acid rock
4199,Jimi Hendrix,105,album rock
4200,Jimi Hendrix,105,blues rock
4202,Jimi Hendrix,105,hard rock
4204,Jimi Hendrix,105,rock
4068,Jay Som,104,freak folk
4071,Jay Som,104,indie rock
4063,Jay Som,104,bay area indie
4064,Jay Som,104,chamber pop
4065,Jay Som,104,chillwave
4066,Jay Som,104,dream pop
4067,Jay Som,104,experimental pop
8764,The Notorious B.I.G.,104,east coast hip hop
4069,Jay Som,104,indie folk
4070,Jay Som,104,indie pop
4062,Jay Som,104,art pop
4072,Jay Som,104,indietronica
4073,Jay Som,104,oakland indie
4074,Jay Som,104,small room
8768,The Notorious B.I.G.,104,rap
8767,The Notorious B.I.G.,104,hip hop
8766,The Notorious B.I.G.,104,hardcore hip hop
8765,The Notorious B.I.G.,104,gangster rap
6557,Pinegrove,102,indie pop
6558,Pinegrove,102,indie rock
6559,Pinegrove,102,new jersey indie
6560,Pinegrove,102,small room
6556,Pinegrove,102,indie folk
6567,Pink Floyd,99,symphonic rock
6566,Pink Floyd,99,rock
6565,Pink Floyd,99,psychedelic rock
6563,Pink Floyd,99,classic rock
6564,Pink Floyd,99,progressive rock
6561,Pink Floyd,99,album rock
6562,Pink Floyd,99,art rock
9674,White Reaper,98,modern power pop
9673,White Reaper,98,indie punk
3378,Gorillaz,97,alternative hip hop
3379,Gorillaz,97,art pop
8517,The Head and the Heart,96,folk-pop
8523,The Head and the Heart,96,stomp and holler
8522,The Head and the Heart,96,seattle indie
8521,The Head and the Heart,96,new americana
8520,The Head and the Heart,96,neo mellow
8519,The Head and the Heart,96,indie pop
8518,The Head and the Heart,96,indie folk
5729,Moon Taxi,94,modern rock
5728,Moon Taxi,94,modern alternative rock
5727,Moon Taxi,94,indietronica
5726,Moon Taxi,94,indie poptimism
5725,Moon Taxi,94,indie pop
5730,Moon Taxi,94,pop rock
5731,Moon Taxi,94,stomp and holler
6114,Noname,93,rap
6109,Noname,93,alternative r&b
6110,Noname,93,chicago rap
6950,Rex Orange County,93,pop
6111,Noname,93,escape room
6112,Noname,93,hip hop
6113,Noname,93,indie soul
6949,Rex Orange County,93,indie r&b
6948,Rex Orange County,93,bedroom pop
6175,Okey Dokey,92,indie garage rock
6176,Okey Dokey,92,nashville indie
4808,Kweku Collins,92,underground hip hop
6421,Peach Pit,90,vancouver indie
6420,Peach Pit,90,modern rock
6419,Peach Pit,90,indie pop
7069,Rolling Blackouts Coastal Fever,88,australian garage punk
7073,Rolling Blackouts Coastal Fever,88,modern jangle pop
7072,Rolling Blackouts Coastal Fever,88,indie rock
7071,Rolling Blackouts Coastal Fever,88,chamber psych
7070,Rolling Blackouts Coastal Fever,88,australian indie
9335,Trampled by Turtles,87,roots rock
6593,Pond,87,indie rock
6594,Pond,87,indietronica
6595,Pond,87,neo-psychedelic
9336,Trampled by Turtles,87,stomp and holler
9329,Trampled by Turtles,87,deep new americana
9333,Trampled by Turtles,87,new americana
9332,Trampled by Turtles,87,jam band
9328,Trampled by Turtles,87,bluegrass
9331,Trampled by Turtles,87,indie folk
9330,Trampled by Turtles,87,duluth indie
9334,Trampled by Turtles,87,progressive bluegrass
2444,Drake,86,hip hop
2445,Drake,86,pop rap
2442,Drake,86,canadian hip hop
2446,Drake,86,rap
2447,Drake,86,toronto rap
2443,Drake,86,canadian pop
5640,Mild High Club,84,indie garage rock
5641,Mild High Club,84,neo-psychedelic
3897,Jack Johnson,81,neo mellow
8829,The Rolling Stones,79,rock
8828,The Rolling Stones,79,protopunk
8825,The Rolling Stones,79,album rock
8826,The Rolling Stones,79,british invasion
8827,The Rolling Stones,79,classic rock
2350,Djo,77,psychedelic pop
4561,KIDS SEE GHOSTS,76,underground hip hop
4559,KIDS SEE GHOSTS,76,hip hop
4560,KIDS SEE GHOSTS,76,rap
6011,Neutral Milk Hotel,73,athens indie
6012,Neutral Milk Hotel,73,chamber pop
6013,Neutral Milk Hotel,73,e6fi
6014,Neutral Milk Hotel,73,freak folk
6010,Neutral Milk Hotel,73,anti-folk
6015,Neutral Milk Hotel,73,indie pop
6016,Neutral Milk Hotel,73,indie rock
6017,Neutral Milk Hotel,73,lo-fi
6018,Neutral Milk Hotel,73,modern rock
6019,Neutral Milk Hotel,73,noise pop
6009,Neutral Milk Hotel,73,alternative rock
9879,Yo La Tengo,72,chamber pop
9878,Yo La Tengo,72,art pop
9880,Yo La Tengo,72,dream pop
9881,Yo La Tengo,72,freak folk
9882,Yo La Tengo,72,indie folk
9887,Yo La Tengo,72,noise pop
9883,Yo La Tengo,72,indie pop
9884,Yo La Tengo,72,indie rock
9877,Yo La Tengo,72,anti-folk
9876,Yo La Tengo,72,alternative rock
8602,The Lemon Twigs,72,psychedelic pop
9885,Yo La Tengo,72,lo-fi
8601,The Lemon Twigs,72,baroque pop
9888,Yo La Tengo,72,permanent wave
9889,Yo La Tengo,72,slow core
9886,Yo La Tengo,72,new jersey indie
6726,Q-Tip,70,hip hop
3662,Hers,70,liverpool indie
3661,Hers,70,indie pop
3660,Hers,70,indie garage rock
6728,Q-Tip,70,queens hip hop
6727,Q-Tip,70,neo soul
1787,Counting Crows,70,pop rock
1788,Counting Crows,70,post-grunge
6724,Q-Tip,70,east coast hip hop
6723,Q-Tip,70,alternative hip hop
1789,Counting Crows,70,rock
1785,Counting Crows,70,alternative rock
1786,Counting Crows,70,neo mellow
6725,Q-Tip,70,hardcore hip hop
6819,Radiohead,68,rock
6160,Of Monsters And Men,68,metropopolis
6161,Of Monsters And Men,68,modern rock
6817,Radiohead,68,oxford indie
6814,Radiohead,68,alternative rock
6815,Radiohead,68,art rock
6816,Radiohead,68,melancholia
6163,Of Monsters And Men,68,stomp and holler
6158,Of Monsters And Men,68,folk-pop
6159,Of Monsters And Men,68,indie pop
6162,Of Monsters And Men,68,pop rock
6818,Radiohead,68,permanent wave
8379,The Decemberists,66,baroque pop
8380,The Decemberists,66,canadian indie
8381,The Decemberists,66,chamber pop
1229,Brother Ali,66,abstract hip hop
1230,Brother Ali,66,alternative hip hop
1231,Brother Ali,66,conscious hip hop
8387,The Decemberists,66,stomp and holler
8386,The Decemberists,66,modern rock
8385,The Decemberists,66,modern folk rock
8384,The Decemberists,66,indie rock
8382,The Decemberists,66,indie folk
8383,The Decemberists,66,indie pop
8378,The Decemberists,66,anti-folk
8377,The Decemberists,66,alternative rock
1232,Brother Ali,66,hip hop
1233,Brother Ali,66,minnesota hip hop
1234,Brother Ali,66,underground rap
2797,FKJ,64,filter house
2798,FKJ,64,indie soul
6720,Pusha T,61,southern hip hop
2594,Electric Guest,61,indie pop
2595,Electric Guest,61,indie rock
2596,Electric Guest,61,indietronica
2597,Electric Guest,61,la indie
6722,Pusha T,61,underground hip hop
6721,Pusha T,61,trap
1915,DAngelo,61,urban contemporary
6719,Pusha T,61,rap
2598,Electric Guest,61,modern rock
6718,Pusha T,61,pop rap
6717,Pusha T,61,hip hop
1914,DAngelo,61,soul
2599,Electric Guest,61,shimmer pop
2593,Electric Guest,61,alternative dance
1908,DAngelo,61,alternative r&b
1909,DAngelo,61,funk
1910,DAngelo,61,hip hop
1911,DAngelo,61,indie soul
1912,DAngelo,61,neo soul
1913,DAngelo,61,r&b
6716,Pusha T,61,gangster rap
2600,Electric Guest,61,vapor soul
9279,Toro Y Moi,59,nu gaze
2314,Disclosure,59,pop
9272,Toro Y Moi,59,alternative dance
9273,Toro Y Moi,59,art pop
9274,Toro Y Moi,59,chillwave
9275,Toro Y Moi,59,indie pop
9276,Toro Y Moi,59,indie soul
9277,Toro Y Moi,59,indietronica
9278,Toro Y Moi,59,new rave
2313,Disclosure,59,house
2316,Disclosure,59,uk dance
8795,The Postal Service,59,seattle indie
8791,The Postal Service,59,indie pop
8792,The Postal Service,59,indie rock
8793,The Postal Service,59,indietronica
8794,The Postal Service,59,modern rock
2315,Disclosure,59,tropical house
4718,Kid Cudi,58,hip hop
4720,Kid Cudi,58,rap
4719,Kid Cudi,58,pop rap
5123,Louis Armstrong,56,vocal jazz
5120,Louis Armstrong,56,new orleans jazz
10104,together PANGEA,56,indie garage rock
10105,together PANGEA,56,indie punk
5117,Louis Armstrong,56,adult standards
5122,Louis Armstrong,56,swing
5118,Louis Armstrong,56,dixieland
5119,Louis Armstrong,56,jazz trumpet
5121,Louis Armstrong,56,soul
7240,Sam Evian,50,garage psych
294,Anderson .Paak,50,escape room
4258,Joey Dosik,50,retro soul
4257,Joey Dosik,50,indie soul
7238,Sam Evian,50,experimental pop
7239,Sam Evian,50,freak folk
7244,Sam Evian,50,neo-psychedelic
7241,Sam Evian,50,indie folk
