,trackName,artistName,total_listens_track,genres
5469,Black Car,Beach House,22,modern dream pop
4932,Best Life (feat. Chance The Rapper),Cardi B,22,rap
59244,untitled 08 | 09.06.2014.,Kendrick Lamar,22,rap
26956,Kevin’s Heart,J. Cole,22,rap
52758,Total Entertainment Forever,Father John Misty,22,art pop
2068,All Night (feat. Knox Fortune),Chance the Rapper,22,chicago rap
37478,Patience,Tame Impala,22,neo-psychedelic
1406,Adam and Eve,Nas,22,rap
59025,i,Kendrick Lamar,22,west coast rap
39130,Proud,(Sandy) Alex G,22,art pop
25202,Is It Me,St. Paul & The Broken Bones,22,soul
6305,Bodys,Car Seat Headrest,22,lo-fi
51028,The Suburbs,Arcade Fire,22,alternative dance
11415,Dark Spring,Beach House,22,chillwave
23989,If You Know You Know,Pusha T,22,rap
24571,Impossible Germany,Wilco,22,alternative rock
773,7 Days Til Sunday,TV Girl,22,art pop
46161,Still Beating,Mac DeMarco,22,edmonton indie
32684,Movie,Tom Misch,22,indie soul
57430,Wondervisions,Delicate Steve,22,new jersey indie
9547,Close to Me,Lake Street Dive,21,stomp and holler
45038,Song For Ty,Whitney,21,chamber pop
6401,Borderline,Tame Impala,21,neo-psychedelic
39918,Ready / Problems,boy pablo,21,norwegian indie
55593,Welcome - Begin,Delicate Steve,21,new jersey indie
54383,Violent Crimes,Kanye West,21,chicago rap
12953,Do You Wanna Do Nothing with Me?,Lawrence,21,nyc pop
42509,Sedona,Houndmouth,21,indie rock
3795,Baby Youre Out,Mac DeMarco,21,edmonton indie
45216,Source (Connection),Delicate Steve,21,shimmer pop
20198,Hard Work,Theo Katzman,21,retro soul
11318,"Dance, Baby!",boy pablo,21,bedroom pop
12357,Destroyed By Hippie Powers,Car Seat Headrest,21,lo-fi
6363,Bonjour,Nas,21,gangster rap
20685,Heavy Metal Drummer,Wilco,21,stomp and holler
43954,Skyline,FKJ,21,indie soul
21839,Honey,Drugdealer,21,neo-psychedelic
6168,Bluebird,Beach House,21,art pop
37025,PPP,Beach House,21,indietronica
43912,Skiptracing,Mild High Club,21,indie garage rock
11798,Days of Candy,Beach House,20,chillwave
24829,In the Aeroplane Over the Sea,Neutral Milk Hotel,20,athens indie
22665,I Am Trying to Break Your Heart,Wilco,20,slow core
46026,Stay for a While,Gibbz,20,indie poptimism
25650,Its Only Raining Right Where Youre Standing,Drugdealer,20,indie garage rock
14855,Every Stupid Actress,TV Girl,20,chillwave
41640,SMILE,Saba,20,chicago rap
59055,imreallytiredthisdaysucks,boy pablo,20,norwegian indie
45217,Source (Construction),Delicate Steve,20,new jersey indie
3755,Baby Dont Leave Me Alone With My Thoughts,Lake Street Dive,20,stomp and holler
57989,You Aint Gotta Lie (Momma Said),Kendrick Lamar,20,conscious hip hop
33365,My Old Man,Mac DeMarco,20,edmonton indie
31016,Master of None,Beach House,20,art pop
45213,Source (Bridge),Delicate Steve,20,new jersey indie
16262,"Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane & Noname)",Chance the Rapper,20,rap
24911,In the Morning Ill Be Better,Tennis,20,indie rock
5038,Beyond Love,Beach House,20,experimental pop
275,10:37,Beach House,20,baltimore indie
26220,Jet Fuel,Mac Miller,20,pittsburgh rap
44277,Smoke Break (feat. Future),Chance the Rapper,20,chicago rap
47024,Summer,Innanet James,20,dmv rap
45951,Stay,Mac Miller,20,hip hop
37106,Paint Me Silver,Pond,19,indie rock
27951,"Lay, Lady, Lay",Bob Dylan,19,classic rock
52581,Tommys Party,Peach Pit,19,vancouver indie
57133,Wildflower,Beach House,19,indietronica
2372,Alone,Trampled by Turtles,19,new americana
10280,Conversation Pt. 1,Mac Miller,19,hip hop
19656,Guess Who,Alabama Shakes,19,rock
3965,Bad Bad News,Leon Bridges,19,modern blues
50781,The Real World,Drugdealer,19,indie garage rock
20312,Hate Yourself,TV Girl,19,art pop
35479,Ode to Viceroy,Mac Demarco,19,edmonton indie
12670,Dirtpicker,Post Animal,19,neo-psychedelic
16022,Ferry Song,Twin Peaks,19,modern power pop
13166,Dont Get Stuck (Proud Elephants),Delicate Steve,19,shimmer pop
27197,King of Echo Park,TV Girl,19,indietronica
1185,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",A$AP Rocky,19,rap
3465,Attitude / Gratitude,Delicate Steve,19,new jersey indie
11357,Dang! (feat. Anderson .Paak),Mac Miller,19,rap
24861,In the Darkness,Foxygen,19,alternative rock
33120,My Boy (Twin Fantasy),Car Seat Headrest,19,lo-fi
35788,Omaha,Toro Y Moi,19,new rave
17364,Friend Of Mine,Whitney,19,stomp and holler
6399,Border On Border,Night Moves,19,indie rock
39342,Put a Light On,Generationals,18,new orleans indie
35367,OG Beeper,A$AP Rocky,18,pop rap
49503,The End Of Comedy,Drugdealer,18,experimental pop
41863,Same Drugs,Chance the Rapper,18,conscious hip hop
8746,Changes,A$AP Rocky,18,pop rap
57463,Woo,Beach House,18,indietronica
58800,You’ve Got a Woman,Whitney,18,indie rock
50954,The Space Program,A Tribe Called Quest,18,alternative hip hop
