,artistName,total_listens,genres
10044,boy pablo,132,norwegian indie
10041,boy pablo,132,bedroom pop
10043,boy pablo,132,indie pop
4933,Leon Bridges,131,modern blues
4934,Leon Bridges,131,soul
7895,Summer Salt,130,indie pop
7894,Summer Salt,130,indie garage rock
84,A$AP Rocky,126,hip hop
87,A$AP Rocky,126,southern hip hop
86,A$AP Rocky,126,rap
85,A$AP Rocky,126,pop rap
83,A$AP Rocky,126,east coast hip hop
88,A$AP Rocky,126,trap
6284,OutKast,125,southern hip hop
6280,OutKast,125,dirty south rap
6282,OutKast,125,pop rap
6283,OutKast,125,rap
6279,OutKast,125,atl hip hop
6281,OutKast,125,hip hop
510,BROCKHAMPTON,123,pop
508,BROCKHAMPTON,123,boy band
509,BROCKHAMPTON,123,hip hop
511,BROCKHAMPTON,123,rap
8223,The Band,121,classic rock
8222,The Band,121,classic canadian rock
8221,The Band,121,blues rock
8224,The Band,121,cosmic american
5933,Nas,121,rap
8225,The Band,121,country rock
8226,The Band,121,folk
8227,The Band,121,folk rock
8228,The Band,121,heartland rock
8229,The Band,121,jam band
8230,The Band,121,mellow gold
5930,Nas,121,hardcore hip hop
5932,Nas,121,queens hip hop
5931,Nas,121,hip hop
8233,The Band,121,roots rock
8234,The Band,121,soft rock
8328,The California Honeydrops,121,modern funk
8327,The California Honeydrops,121,indie folk
8326,The California Honeydrops,121,funk
8325,The California Honeydrops,121,deep new americana
8324,The California Honeydrops,121,bay area indie
5927,Nas,121,conscious hip hop
5928,Nas,121,east coast hip hop
5929,Nas,121,gangster rap
8235,The Band,121,traditional folk
8220,The Band,121,album rock
8232,The Band,121,rock
8231,The Band,121,psychedelic rock
6085,Night Moves,117,indie rock
6896,Ray Charles,116,vocal jazz
6895,Ray Charles,116,soul blues
6894,Ray Charles,116,soul
6893,Ray Charles,116,piano blues
6892,Ray Charles,116,jazz blues
6891,Ray Charles,116,classic soul
6890,Ray Charles,116,adult standards
9536,Vundabar,114,boston indie
9538,Vundabar,114,indie rock
9537,Vundabar,114,indie garage rock
839,Billy Bragg,107,alternative rock
840,Billy Bragg,107,anti-folk
842,Billy Bragg,107,folk punk
844,Billy Bragg,107,permanent wave
848,Billy Bragg,107,uk americana
847,Billy Bragg,107,traditional folk
846,Billy Bragg,107,singer-songwriter
843,Billy Bragg,107,folk rock
845,Billy Bragg,107,roots rock
841,Billy Bragg,107,folk
5516,Men I Trust,106,indie pop
4205,Jimi Hendrix,105,blues rock
4203,Jimi Hendrix,105,acid rock
4204,Jimi Hendrix,105,album rock
4206,Jimi Hendrix,105,classic rock
4207,Jimi Hendrix,105,hard rock
4208,Jimi Hendrix,105,psychedelic rock
4209,Jimi Hendrix,105,rock
4071,Jay Som,104,dream pop
4069,Jay Som,104,chamber pop
8770,The Notorious B.I.G.,104,east coast hip hop
4070,Jay Som,104,chillwave
8772,The Notorious B.I.G.,104,hardcore hip hop
4072,Jay Som,104,experimental pop
4073,Jay Som,104,freak folk
